threshold,n,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp
0.56,20163,0.9046768834002876,0.855959668707238,0.9672431332655137,0.9082051771897984,0.9684263368585021,0.9611430993606485,0.1548437046356334,0.032756866734486266,8733,1600,322,9508
0.5700000000000001,20163,0.9042801170460745,0.8574013753166848,0.9639877924720244,0.907575902691313,0.9684263368585021,0.9611430993606485,0.1525210490660989,0.036012207527975584,8757,1576,354,9476
0.5800000000000001,20163,0.9045776918117344,0.8596251819505094,0.9612410986775178,0.9075977331668428,0.9684263368585021,0.9611430993606485,0.14932739765798897,0.0387589013224822,8790,1543,381,9449
0.59,20163,0.9043297128403511,0.8618005311841743,0.9572736520854527,0.9070316641765869,0.9684263368585021,0.9611430993606485,0.14603696893448176,0.042726347914547304,8824,1509,420,9410
0.6,20163,0.9034369885433715,0.8633053737671674,0.9527975584944048,0.9058465109531408,0.9684263368585021,0.9611430993606485,0.1435207587341527,0.04720244150559512,8850,1483,464,9366
0.61,20163,0.9033873927490949,0.8659238625812442,0.9487283825025432,0.9054368932038835,0.9684263368585021,0.9611430993606485,0.13974644343365916,0.05127161749745676,8889,1444,504,9326
0.62,20163,0.9029906263948817,0.8689092953523239,0.9433367243133266,0.9045946736903717,0.9684263368585021,0.9611430993606485,0.13539146424078197,0.056663275686673446,8934,1399,557,9273
0.63,20163,0.9029906263948817,0.8721875590848932,0.9385554425228891,0.904155233241866,0.9684263368585021,0.9611430993606485,0.13084293041711023,0.06144455747711088,8981,1352,604,9226
0.64,20163,0.9023954768635619,0.8753819709702063,0.9325534079348932,0.9030637375628017,0.9684263368585021,0.9611430993606485,0.1262943965934385,0.06744659206510682,9028,1305,663,9167
0.65,20163,0.9017011357436889,0.8790571870170015,0.9257375381485249,0.9017936775344366,0.9684263368585021,0.9611430993606485,0.12116519887738314,0.07426246185147507,9081,1252,730,9100
0.66,20163,0.8999156871497297,0.882491186839013,0.9167853509664293,0.8993114459634767,0.9684263368585021,0.9611430993606485,0.11613277847672505,0.0832146490335707,9133,1200,818,9012
0.67,20163,0.8994693250012399,0.8874764127520112,0.9090539165818922,0.8981355847027489,0.9684263368585021,0.9611430993606485,0.1096486983451079,0.09094608341810784,9200,1133,894,8936
0.68,20163,0.8989733670584734,0.8922782643712877,0.9016276703967446,0.8969286039568891,0.9684263368585021,0.9611430993606485,0.10355172747507985,0.09837232960325534,9263,1070,967,8863
0.6900000000000001,20163,0.897088726875961,0.8958652373660031,0.8926754832146491,0.8942675159235669,0.9684263368585021,0.9611430993606485,0.0987128617052163,0.10732451678535096,9313,1020,1055,8775
0.7000000000000001,20163,0.8949065119277885,0.9006546814922581,0.8816887080366226,0.8910707859970185,0.9684263368585021,0.9611430993606485,0.09251911351979096,0.11831129196337742,9377,956,1163,8667
