threshold,n,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp
0.6900000000000001,20163,0.9205971333630908,0.9583379748245516,0.8751780264496439,0.9148721220822035,0.9855602781397765,0.9829170824861801,0.03619471595857931,0.12482197355035606,9959,374,1227,8603
0.7000000000000001,20163,0.9190100679462382,0.959937156323645,0.8701932858596134,0.9128648417907262,0.9855602781397765,0.9829170824861801,0.0345495015968257,0.12980671414038658,9976,357,1276,8554
0.7100000000000001,20163,0.9177205772950454,0.9616905865069499,0.8657171922685656,0.9111836822099684,0.9855602781397765,0.9829170824861801,0.03280750991967483,0.1342828077314344,9994,339,1320,8510
0.72,20163,0.916381490849576,0.9638869902027797,0.8607324516785351,0.9093938091143594,0.9855602781397765,0.9829170824861801,0.03067840898093487,0.1392675483214649,10016,317,1369,8461
0.73,20163,0.9144968506670634,0.9653272101033296,0.8553407934893185,0.9070118662351672,0.9855602781397765,0.9829170824861801,0.029226749249975807,0.1446592065106816,10031,302,1422,8408
0.74,20163,0.912463423101721,0.9671029769489169,0.8493387589013225,0.9044034013973894,0.9855602781397765,0.9829170824861801,0.02748475757282493,0.1506612410986775,10049,284,1481,8349
0.75,20163,0.9096364628279522,0.9680851063829787,0.8424211597151576,0.9008920800696257,0.9855602781397765,0.9829170824861801,0.02642020710345495,0.15757884028484231,10060,273,1549,8281
0.76,20163,0.9073054604969498,0.9696755162241888,0.8360122075279756,0.8978967495219885,0.9855602781397765,0.9829170824861801,0.024871770057098615,0.1639877924720244,10076,257,1612,8218
0.77,20163,0.9045280960174578,0.9712650530583046,0.8286876907426246,0.8943294724707691,0.9855602781397765,0.9829170824861801,0.023323333010742284,0.1713123092573754,10092,241,1684,8146
0.78,20163,0.9012051778009225,0.9727382388419783,0.8203458799593082,0.8900662251655629,0.9855602781397765,0.9829170824861801,0.02187167327978322,0.17965412004069176,10107,226,1766,8064
0.79,20163,0.8978822595843873,0.974477958236659,0.8118006103763988,0.8857317276208446,0.9855602781397765,0.9829170824861801,0.020226458918029613,0.18819938962360122,10124,209,1850,7980
0.8,20163,0.8939641918365323,0.9761079475117603,0.8021363173957273,0.8806120169756534,0.9855602781397765,0.9829170824861801,0.018678021871673278,0.19786368260427264,10140,193,1945,7885
0.81,20163,0.8902941030600605,0.9773182957393484,0.7933875890132248,0.8758001122964627,0.9855602781397765,0.9829170824861801,0.01751669408690603,0.20661241098677519,10152,181,2031,7799
0.8200000000000001,20163,0.8861776521350989,0.9786558251810443,0.7836215666327568,0.8703463081181854,0.9855602781397765,0.9829170824861801,0.01625858898674151,0.21637843336724313,10165,168,2127,7703
0.8300000000000001,20163,0.8829043297128404,0.9801980198019802,0.7754832146490336,0.8659056057249958,0.9855602781397765,0.9829170824861801,0.014903706571179716,0.22451678535096642,10179,154,2207,7623
0.8400000000000001,20163,0.877498388136686,0.9823066841415465,0.7624618514750763,0.8585337915234822,0.9855602781397765,0.9829170824861801,0.013064937578631568,0.2375381485249237,10198,135,2335,7495
0.85,20163,0.8725884045032981,0.9838731174196987,0.7509664292980671,0.851785611261755,0.9855602781397765,0.9829170824861801,0.011710055163069777,0.24903357070193285,10212,121,2448,7382
0.86,20163,0.8686703367554431,0.9865853658536585,0.7406917599186165,0.8461359674607786,0.9855602781397765,0.9829170824861801,0.009580954224329818,0.25930824008138353,10234,99,2549,7281
0.87,20163,0.8645042900362049,0.988036303630363,0.7309257375381485,0.8402526020348497,0.9855602781397765,0.9829170824861801,0.008419626439562566,0.26907426246185145,10246,87,2645,7185
0.88,20163,0.8598918811684769,0.9891076665270213,0.7205493387589014,0.8337355070331351,0.9855602781397765,0.9829170824861801,0.007548630600987129,0.2794506612410987,10255,78,2747,7083
0.89,20163,0.8550810891236423,0.9916026188442927,0.7087487283825026,0.8266492643569056,0.9855602781397765,0.9829170824861801,0.005709861608438982,0.2912512716174975,10274,59,2863,6967
0.9,20163,0.8491295938104448,0.9925979680696662,0.6957273652085453,0.8180622009569378,0.9855602781397765,0.9829170824861801,0.004935643085260815,0.3042726347914547,10282,51,2991,6839
0.91,20163,0.842682140554481,0.9930390995260664,0.6820956256358087,0.8087082378482692,0.9855602781397765,0.9829170824861801,0.004548533823671731,0.3179043743641913,10286,47,3125,6705
0.92,20163,0.8351435798244309,0.9939265107804434,0.6659206510681587,0.797514619883041,0.9855602781397765,0.9829170824861801,0.0038710926158908353,0.3340793489318413,10293,40,3284,6546
0.93,20163,0.8282497644199772,0.9947163947163947,0.6511698880976602,0.7870888410697817,0.9855602781397765,0.9829170824861801,0.00329042872350721,0.34883011190233976,10299,34,3429,6401
0.9400000000000001,20163,0.8197192878043942,0.9955207166853304,0.6330620549338759,0.7739568434798831,0.9855602781397765,0.9829170824861801,0.002709764831123585,0.3669379450661241,10305,28,3607,6223
0.9500000000000001,20163,0.8107424490403213,0.995877308707124,0.6143438453713123,0.7599093997734995,0.9855602781397765,0.9829170824861801,0.002419432884931772,0.3856561546286877,10308,25,3791,6039
0.9600000000000001,20163,0.7991866289738631,0.9960528573880213,0.5904374364191252,0.7413936258542505,0.9855602781397765,0.9829170824861801,0.00222587825413723,0.4095625635808749,10310,23,4026,5804
0.97,20163,0.7835639537767197,0.9965479651162791,0.5579857578840285,0.7154036781009522,0.9855602781397765,0.9829170824861801,0.0018387689925481467,0.4420142421159715,10314,19,4345,5485
0.98,20163,0.7607002926151862,0.9968235060551915,0.5107833163784333,0.6754557072711375,0.9855602781397765,0.9829170824861801,0.001548437046356334,0.4892166836215666,10317,16,4809,5021
0.99,20163,0.71303873431533,0.9972946384653222,0.4125127161749746,0.5836211859527922,0.9855602781397765,0.9829170824861801,0.0010645504693699798,0.5874872838250255,10322,11,5775,4055
