,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
37,0.195,0.926186,0.900784,0.902151,0.992106,0.944992,0.842335,15056,3544,260,32675,0.190538,0.007894,0.809462,51535,0.63908,0.702804,8744.0
38,0.2,0.927079,0.902196,0.903633,0.99165,0.945598,0.844099,15117,3483,275,32660,0.187258,0.00835,0.812742,51535,0.63908,0.701329,8983.0
39,0.205,0.928088,0.903793,0.905317,0.991134,0.946284,0.8461,15186,3414,292,32643,0.183548,0.008866,0.816452,51535,0.63908,0.69966,9254.0
40,0.21,0.929097,0.90539,0.907008,0.990618,0.946971,0.848108,15255,3345,309,32626,0.179839,0.009382,0.820161,51535,0.63908,0.697992,9525.0
41,0.215,0.930203,0.907074,0.908744,0.990223,0.947735,0.850351,15325,3275,322,32613,0.176075,0.009777,0.823925,51535,0.63908,0.696381,9715.0
42,0.22,0.931095,0.90858,0.910437,0.989525,0.948335,0.852091,15394,3206,345,32590,0.172366,0.010475,0.827634,51535,0.63908,0.694596,10106.0
43,0.225,0.932143,0.910195,0.912135,0.9891,0.94906,0.85422,15462,3138,359,32576,0.16871,0.0109,0.83129,51535,0.63908,0.693005,10318.0
44,0.23,0.932745,0.91118,0.913229,0.988705,0.949469,0.855416,15506,3094,372,32563,0.166344,0.011295,0.833656,51535,0.63908,0.691899,10534.0
45,0.235,0.933676,0.912588,0.914693,0.988401,0.95012,0.85733,15564,3036,382,32553,0.163226,0.011599,0.836774,51535,0.63908,0.690579,10676.0
46,0.24,0.934355,0.913809,0.916155,0.987673,0.950571,0.858641,15623,2977,406,32529,0.160054,0.012327,0.839946,51535,0.63908,0.688969,11097.0
47,0.245,0.934996,0.914872,0.91736,0.987217,0.951008,0.859922,15671,2929,421,32514,0.157473,0.012783,0.842527,51535,0.63908,0.687746,11349.0
48,0.25,0.935733,0.915975,0.91851,0.987005,0.951527,0.861452,15716,2884,428,32507,0.155054,0.012995,0.844946,51535,0.63908,0.686737,11444.0
49,0.255,0.936509,0.917168,0.919787,0.986701,0.95207,0.863052,15766,2834,438,32497,0.152366,0.013299,0.847634,51535,0.63908,0.685573,11594.0
50,0.26,0.937208,0.918416,0.921298,0.985972,0.952539,0.864428,15826,2774,462,32473,0.14914,0.014028,0.85086,51535,0.63908,0.683943,12014.0
51,0.265,0.938023,0.919756,0.92283,0.985426,0.953101,0.866086,15886,2714,480,32455,0.145914,0.014574,0.854086,51535,0.63908,0.682429,12314.0
52,0.27,0.938876,0.921091,0.9243,0.985031,0.9537,0.867852,15943,2657,493,32442,0.142849,0.014969,0.857151,51535,0.63908,0.681071,12517.0
53,0.275,0.9394,0.922062,0.925521,0.984394,0.95405,0.868889,15991,2609,514,32421,0.140269,0.015606,0.859731,51535,0.63908,0.679732,12889.0
54,0.28,0.940041,0.923137,0.926784,0.983908,0.954492,0.870198,16040,2560,530,32405,0.137634,0.016092,0.862366,51535,0.63908,0.678471,13160.0
55,0.285,0.940526,0.924043,0.927937,0.9833,0.954817,0.871166,16085,2515,550,32385,0.135215,0.0167,0.864785,51535,0.63908,0.67721,13515.0
56,0.29,0.941108,0.924966,0.928981,0.982997,0.955226,0.872379,16125,2475,560,32375,0.133065,0.017003,0.866935,51535,0.63908,0.676239,13675.0
57,0.295,0.941632,0.925961,0.93027,0.982298,0.955577,0.87343,16175,2425,583,32352,0.130376,0.017702,0.869624,51535,0.63908,0.674823,14085.0
58,0.3,0.942175,0.926878,0.931367,0.981873,0.955954,0.874555,16217,2383,597,32338,0.128118,0.018127,0.871882,51535,0.63908,0.673736,14323.0
59,0.305,0.942622,0.927695,0.932408,0.981357,0.956257,0.875466,16257,2343,614,32321,0.125968,0.018643,0.874032,51535,0.63908,0.67263,14623.0
60,0.31,0.943165,0.928611,0.933512,0.980932,0.956635,0.876598,16299,2301,628,32307,0.12371,0.019068,0.87629,51535,0.63908,0.671544,14861.0
61,0.315,0.943611,0.929428,0.934561,0.980416,0.956939,0.877517,16339,2261,645,32290,0.121559,0.019584,0.878441,51535,0.63908,0.670438,15161.0
62,0.32,0.943999,0.930142,0.93548,0.979961,0.957204,0.87832,16374,2226,660,32275,0.119677,0.020039,0.880323,51535,0.63908,0.669467,15426.0
63,0.325,0.944659,0.931173,0.936656,0.979657,0.957674,0.879721,16418,2182,670,32265,0.117312,0.020343,0.882688,51535,0.63908,0.66842,15582.0
64,0.33,0.944931,0.931795,0.937571,0.979019,0.957847,0.880266,16453,2147,691,32244,0.11543,0.020981,0.88457,51535,0.63908,0.667333,15967.0
65,0.335,0.945222,0.932397,0.938414,0.978503,0.958039,0.880864,16485,2115,708,32227,0.11371,0.021497,0.88629,51535,0.63908,0.666382,16275.0
66,0.34,0.945299,0.93289,0.939367,0.977501,0.958055,0.880979,16522,2078,741,32194,0.11172,0.022499,0.88828,51535,0.63908,0.665024,16898.0
67,0.345,0.945823,0.933827,0.940571,0.976955,0.958418,0.882089,16567,2033,759,32176,0.109301,0.023045,0.890699,51535,0.63908,0.663801,17213.0
68,0.35,0.946017,0.934248,0.941182,0.97656,0.958544,0.882493,16590,2010,772,32163,0.108065,0.02344,0.891935,51535,0.63908,0.663103,17450.0
69,0.355,0.946464,0.935065,0.942256,0.976044,0.958852,0.883443,16630,1970,789,32146,0.105914,0.023956,0.894086,51535,0.63908,0.661997,17750.0
70,0.36,0.946716,0.935555,0.942927,0.975679,0.959023,0.88398,16655,1945,801,32134,0.10457,0.024321,0.89543,51535,0.63908,0.661279,17965.0
71,0.365,0.947065,0.936284,0.943972,0.975042,0.959256,0.884722,16694,1906,822,32113,0.102473,0.024958,0.897527,51535,0.63908,0.660114,18346.0
72,0.37,0.94757,0.937135,0.945035,0.974647,0.959613,0.885812,16733,1867,835,32100,0.100376,0.025353,0.899624,51535,0.63908,0.659105,18567.0
73,0.375,0.947705,0.937616,0.945886,0.973888,0.959683,0.886095,16765,1835,860,32075,0.098656,0.026112,0.901344,51535,0.63908,0.657999,19035.0
74,0.38,0.948035,0.938354,0.946994,0.973159,0.959898,0.886807,16806,1794,884,32051,0.096452,0.026841,0.903548,51535,0.63908,0.656738,19474.0
75,0.385,0.948637,0.939351,0.948233,0.972734,0.960327,0.88812,16851,1749,898,32037,0.094032,0.027266,0.905968,51535,0.63908,0.655593,19709.0
76,0.39,0.948695,0.939654,0.948822,0.972157,0.960348,0.888247,16873,1727,917,32018,0.092849,0.027843,0.907151,51535,0.63908,0.654798,20067.0
77,0.395,0.949044,0.9405,0.950156,0.971216,0.960571,0.889017,16922,1678,948,31987,0.090215,0.028784,0.909785,51535,0.63908,0.653245,20638.0
78,0.4,0.949064,0.94082,0.950854,0.970457,0.960555,0.889069,16948,1652,973,31962,0.088817,0.029543,0.911183,51535,0.63908,0.652256,21112.0
79,0.405,0.949258,0.941299,0.951621,0.96991,0.960678,0.889504,16976,1624,991,31944,0.087312,0.03009,0.912688,51535,0.63908,0.651363,21444.0
80,0.41,0.949549,0.941937,0.952586,0.969303,0.960872,0.890158,17011,1589,1011,31924,0.08543,0.030697,0.91457,51535,0.63908,0.650296,21809.0
81,0.415,0.949723,0.942401,0.953356,0.968726,0.96098,0.890558,17039,1561,1030,31905,0.083925,0.031274,0.916075,51535,0.63908,0.649384,22161.0
82,0.42,0.949723,0.942635,0.953898,0.968119,0.960956,0.890577,17059,1541,1050,31885,0.082849,0.031881,0.917151,51535,0.63908,0.648608,22541.0
83,0.425,0.949607,0.942836,0.95457,0.967178,0.960833,0.890354,17084,1516,1081,31854,0.081505,0.032822,0.918495,51535,0.63908,0.647521,23136.0
84,0.43,0.950015,0.943541,0.955499,0.966813,0.961123,0.89127,17117,1483,1093,31842,0.079731,0.033187,0.920269,51535,0.63908,0.646648,23343.0
85,0.435,0.950209,0.944114,0.956498,0.966024,0.961237,0.891736,17153,1447,1119,31816,0.077796,0.033976,0.922204,51535,0.63908,0.645445,23827.0
86,0.44,0.950422,0.944644,0.957365,0.965417,0.961374,0.89224,17184,1416,1139,31796,0.076129,0.034583,0.923871,51535,0.63908,0.644455,24196.0
87,0.445,0.950635,0.945162,0.958206,0.96484,0.961512,0.892746,17214,1386,1158,31777,0.074516,0.03516,0.925484,51535,0.63908,0.643504,24546.0
88,0.45,0.950577,0.945374,0.958811,0.964081,0.961439,0.892664,17236,1364,1183,31752,0.073333,0.035919,0.926667,51535,0.63908,0.642592,25024.0
89,0.455,0.950752,0.945885,0.959711,0.963382,0.961543,0.893099,17268,1332,1206,31729,0.071613,0.036618,0.928387,51535,0.63908,0.641525,25452.0
90,0.46,0.950752,0.946201,0.960463,0.962563,0.961512,0.893158,17295,1305,1233,31702,0.070161,0.037437,0.929839,51535,0.63908,0.640477,25965.0
91,0.465,0.950674,0.946432,0.961157,0.961682,0.961419,0.893053,17320,1280,1262,31673,0.068817,0.038318,0.931183,51535,0.63908,0.63943,26520.0
92,0.47,0.950771,0.946871,0.962032,0.960893,0.961462,0.893336,17351,1249,1288,31647,0.067151,0.039107,0.932849,51535,0.63908,0.638323,27009.0
93,0.475,0.950907,0.947235,0.962659,0.960437,0.961547,0.893679,17373,1227,1303,31632,0.065968,0.039563,0.934032,51535,0.63908,0.637606,27287.0
94,0.48,0.951121,0.947776,0.963574,0.9598,0.961683,0.894216,17405,1195,1324,31611,0.064247,0.0402,0.935753,51535,0.63908,0.636577,27675.0
95,0.485,0.951004,0.948013,0.96436,0.958767,0.961555,0.894056,17433,1167,1358,31577,0.062742,0.041233,0.937258,51535,0.63908,0.635374,28327.0
96,0.49,0.951004,0.948305,0.96507,0.958008,0.961526,0.894135,17458,1142,1383,31552,0.061398,0.041992,0.938602,51535,0.63908,0.634404,28802.0
