,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
101,0.515,0.935273,0.935611,0.920749,0.948807,0.934567,0.870944,9559,804,504,9341,0.077584,0.051193,0.922416,20208,0.487183,0.502029,10884.0
102,0.52,0.935422,0.935746,0.921354,0.9484,0.934681,0.871209,9566,797,508,9337,0.076908,0.0516,0.923092,20208,0.487183,0.501485,10957.0
103,0.525,0.935966,0.936274,0.922438,0.948299,0.93519,0.872263,9578,785,509,9336,0.07575,0.051701,0.92425,20208,0.487183,0.500841,10965.0
104,0.53,0.936114,0.936406,0.92313,0.947791,0.935298,0.872526,9586,777,514,9331,0.074978,0.052209,0.925022,20208,0.487183,0.500198,11057.0
105,0.535,0.936065,0.936338,0.92371,0.946978,0.935199,0.872389,9593,770,522,9323,0.074303,0.053022,0.925697,20208,0.487183,0.499456,11210.0
106,0.54,0.935916,0.936168,0.924276,0.945962,0.934993,0.872052,9600,763,532,9313,0.073627,0.054038,0.926373,20208,0.487183,0.498614,11403.0
107,0.545,0.936312,0.936543,0.925348,0.945556,0.935343,0.872808,9612,751,536,9309,0.072469,0.054444,0.927531,20208,0.487183,0.497823,11471.0
108,0.55,0.936609,0.936813,0.926579,0.944744,0.935573,0.873357,9626,737,544,9301,0.071118,0.055256,0.928882,20208,0.487183,0.496734,11617.0
109,0.555,0.936411,0.936587,0.927316,0.943423,0.9353,0.872919,9635,728,557,9288,0.07025,0.056577,0.92975,20208,0.487183,0.495645,11868.0
110,0.56,0.936312,0.93648,0.927473,0.943017,0.93518,0.872711,9637,726,561,9284,0.070057,0.056983,0.929943,20208,0.487183,0.495348,11946.0
111,0.565,0.936263,0.936414,0.927978,0.942306,0.935087,0.87259,9643,720,568,9277,0.069478,0.057694,0.930522,20208,0.487183,0.494705,12080.0
112,0.57,0.936312,0.936439,0.928843,0.941392,0.935075,0.87266,9653,710,577,9268,0.068513,0.058608,0.931487,20208,0.487183,0.493765,12250.0
113,0.575,0.936362,0.936465,0.929712,0.940477,0.935064,0.872732,9663,700,586,9259,0.067548,0.059523,0.932452,20208,0.487183,0.492825,12420.0
114,0.58,0.936609,0.936698,0.930438,0.940173,0.93528,0.873214,9671,692,589,9256,0.066776,0.059827,0.933224,20208,0.487183,0.49228,12472.0
115,0.585,0.936461,0.936536,0.930764,0.939462,0.935093,0.872904,9675,688,596,9249,0.06639,0.060538,0.93361,20208,0.487183,0.491736,12608.0
116,0.59,0.936213,0.936272,0.931076,0.938547,0.934797,0.872395,9679,684,605,9240,0.066004,0.061453,0.933996,20208,0.487183,0.491093,12784.0
117,0.595,0.936263,0.936305,0.931692,0.937938,0.934805,0.872482,9686,677,611,9234,0.065329,0.062062,0.934671,20208,0.487183,0.490449,12897.0
118,0.6,0.936362,0.936376,0.932754,0.936922,0.934833,0.872662,9698,665,621,9224,0.064171,0.063078,0.935829,20208,0.487183,0.489361,13085.0
119,0.605,0.936411,0.936409,0.933374,0.936313,0.934841,0.872753,9705,658,627,9218,0.063495,0.063687,0.936505,20208,0.487183,0.488717,13198.0
120,0.61,0.936114,0.936091,0.933773,0.935196,0.934484,0.872151,9710,653,638,9207,0.063013,0.064804,0.936987,20208,0.487183,0.487926,13413.0
121,0.615,0.936164,0.936124,0.934396,0.934586,0.934491,0.872245,9717,646,644,9201,0.062337,0.065414,0.937663,20208,0.487183,0.487282,13526.0
122,0.62,0.935916,0.935858,0.934805,0.93357,0.934187,0.871745,9722,641,654,9191,0.061855,0.06643,0.938145,20208,0.487183,0.48654,13721.0
123,0.625,0.936164,0.936084,0.935813,0.932961,0.934385,0.872238,9733,630,660,9185,0.060793,0.067039,0.939207,20208,0.487183,0.485699,13830.0
124,0.63,0.936213,0.936117,0.936442,0.932351,0.934392,0.872337,9740,623,666,9179,0.060118,0.067649,0.939882,20208,0.487183,0.485055,13943.0
125,0.635,0.936263,0.936152,0.936983,0.931844,0.934406,0.872437,9746,617,671,9174,0.059539,0.068156,0.940461,20208,0.487183,0.484511,14037.0
126,0.64,0.935521,0.935375,0.937423,0.929711,0.933551,0.870958,9752,611,692,9153,0.05896,0.070289,0.94104,20208,0.487183,0.483175,14451.0
127,0.645,0.935966,0.935794,0.938828,0.929101,0.933939,0.871859,9767,596,698,9147,0.057512,0.070899,0.942488,20208,0.487183,0.482136,14556.0
128,0.65,0.935719,0.935525,0.939338,0.927984,0.933626,0.871374,9773,590,709,9136,0.056933,0.072016,0.943067,20208,0.487183,0.481295,14770.0
129,0.655,0.935224,0.935005,0.939728,0.92646,0.933047,0.870399,9778,585,724,9121,0.056451,0.07354,0.943549,20208,0.487183,0.480305,15065.0
130,0.66,0.934976,0.934741,0.94006,0.925546,0.932746,0.869915,9782,581,733,9112,0.056065,0.074454,0.943935,20208,0.487183,0.479662,15241.0
131,0.665,0.934976,0.93472,0.940787,0.924733,0.932691,0.869932,9790,573,741,9104,0.055293,0.075267,0.944707,20208,0.487183,0.47887,15393.0
132,0.67,0.934679,0.934403,0.941207,0.923616,0.932329,0.869356,9795,568,752,9093,0.05481,0.076384,0.94519,20208,0.487183,0.478078,15608.0
133,0.675,0.934481,0.934174,0.942098,0.922194,0.93204,0.868992,9805,558,766,9079,0.053845,0.077806,0.946155,20208,0.487183,0.47689,15878.0
134,0.68,0.934432,0.934103,0.942827,0.92128,0.931929,0.868919,9813,550,775,9070,0.053073,0.07872,0.946927,20208,0.487183,0.476049,16050.0
135,0.685,0.933789,0.933428,0.943304,0.91935,0.931173,0.867672,9819,544,794,9051,0.052494,0.08065,0.947506,20208,0.487183,0.474812,16424.0
136,0.69,0.933739,0.933349,0.944317,0.918131,0.93104,0.867617,9830,533,806,9039,0.051433,0.081869,0.948567,20208,0.487183,0.473674,16653.0
137,0.695,0.933591,0.933179,0.94495,0.917115,0.930825,0.867354,9837,526,816,9029,0.050758,0.082885,0.949242,20208,0.487183,0.472833,16846.0
