,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
165,0.835,0.898429,0.886966,0.982656,0.784986,0.872769,0.803801,16907,189,2933,10708,0.011055,0.215014,0.988945,30737,0.443797,0.354524,58849.0
166,0.84,0.897485,0.885851,0.983232,0.782347,0.871362,0.802202,16914,182,2969,10672,0.010646,0.217653,0.989354,30737,0.443797,0.353125,59562.0
167,0.845,0.896639,0.884816,0.984175,0.779635,0.870045,0.80086,16925,171,3006,10635,0.010002,0.220365,0.989998,30737,0.443797,0.351563,60291.0
168,0.85,0.895305,0.883284,0.984475,0.776336,0.868104,0.798505,16929,167,3051,10590,0.009768,0.223664,0.990232,30737,0.443797,0.349969,61187.0
169,0.855,0.893776,0.881494,0.985223,0.772231,0.86582,0.795895,16938,158,3107,10534,0.009242,0.227769,0.990758,30737,0.443797,0.347854,62298.0
170,0.86,0.8928,0.88035,0.985728,0.769592,0.864353,0.79424,16944,152,3143,10498,0.008891,0.230408,0.991109,30737,0.443797,0.346488,63012.0
171,0.865,0.892084,0.87947,0.986614,0.767246,0.863211,0.79314,16954,142,3175,10466,0.008306,0.232754,0.991694,30737,0.443797,0.345122,63642.0
172,0.87,0.890685,0.877886,0.986652,0.76402,0.86118,0.790627,16955,141,3219,10422,0.008248,0.23598,0.991752,30737,0.443797,0.343657,64521.0
173,0.875,0.88984,0.876881,0.987266,0.761601,0.859874,0.78924,16962,134,3252,10389,0.007838,0.238399,0.992162,30737,0.443797,0.342356,65174.0
174,0.88,0.888668,0.875547,0.987408,0.758815,0.85815,0.787166,16964,132,3290,10351,0.007721,0.241185,0.992279,30737,0.443797,0.341055,65932.0
175,0.885,0.886977,0.873589,0.988,0.75449,0.855599,0.784263,16971,125,3349,10292,0.007312,0.24551,0.992688,30737,0.443797,0.338908,67105.0
176,0.89,0.88548,0.871851,0.988607,0.750605,0.853321,0.781719,16978,118,3402,10239,0.006902,0.249395,0.993098,30737,0.443797,0.336955,68158.0
