,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
181,0.915,0.880307,0.865883,0.990256,0.737556,0.845427,0.772866,16997,99,3580,10061,0.005791,0.262444,0.994209,30737,0.443797,0.330546,71699.0
182,0.92,0.878323,0.863587,0.990975,0.732498,0.842354,0.769506,17005,91,3649,9992,0.005323,0.267502,0.994677,30737,0.443797,0.328041,73071.0
183,0.925,0.876175,0.861102,0.991799,0.726999,0.839002,0.765893,17014,82,3724,9917,0.004796,0.273001,0.995204,30737,0.443797,0.325308,74562.0
184,0.93,0.873703,0.858264,0.992431,0.720915,0.835159,0.761666,17021,75,3807,9834,0.004387,0.279085,0.995613,30737,0.443797,0.32238,76215.0
185,0.935,0.871133,0.855324,0.992972,0.714684,0.831152,0.757256,17027,69,3892,9749,0.004036,0.285316,0.995964,30737,0.443797,0.31942,77909.0
186,0.94,0.86879,0.852655,0.993325,0.709112,0.827495,0.75321,17031,65,3968,9673,0.003802,0.290888,0.996198,30737,0.443797,0.316817,79425.0
187,0.945,0.86635,0.849847,0.994091,0.703028,0.8236,0.749107,17039,57,4051,9590,0.003334,0.296972,0.996666,30737,0.443797,0.313856,81077.0
188,0.95,0.862836,0.845829,0.994855,0.694524,0.817993,0.743128,17047,49,4167,9474,0.002866,0.305476,0.997134,30737,0.443797,0.309822,83389.0
189,0.955,0.85929,0.841782,0.995532,0.68602,0.812291,0.737087,17054,42,4283,9358,0.002457,0.31398,0.997543,30737,0.443797,0.30582,85702.0
190,0.96,0.855646,0.837654,0.995798,0.67759,0.806439,0.730781,17057,39,4398,9243,0.002281,0.32241,0.997719,30737,0.443797,0.301981,87999.0
191,0.965,0.852068,0.833585,0.996289,0.669159,0.800596,0.724664,17062,34,4513,9128,0.001989,0.330841,0.998011,30737,0.443797,0.298077,90294.0
192,0.97,0.846797,0.827618,0.996664,0.65699,0.791941,0.715582,17066,30,4679,8962,0.001755,0.34301,0.998245,30737,0.443797,0.292546,93610.0
193,0.975,0.841299,0.821408,0.996825,0.644454,0.782814,0.706069,17068,28,4850,8791,0.001638,0.355546,0.998362,30737,0.443797,0.286918,97028.0
194,0.98,0.834955,0.814246,0.996984,0.630012,0.772113,0.695109,17070,26,5047,8594,0.001521,0.369988,0.998479,30737,0.443797,0.280444,100966.0
195,0.985,0.82591,0.804034,0.997241,0.609413,0.756518,0.679531,17073,23,5328,8313,0.001345,0.390587,0.998655,30737,0.443797,0.271204,106583.0
196,0.99,0.811432,0.787708,0.997337,0.576644,0.730769,0.654565,17075,21,5775,7866,0.001228,0.423356,0.998772,30737,0.443797,0.256596,115521.0
