,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
123,0.625,0.960307,0.95769,0.97647,0.964934,0.970668,0.909458,10645,555,837,23032,0.049554,0.035066,0.950446,35069,0.68063,0.672588,17295.0
124,0.63,0.960079,0.957712,0.976786,0.964263,0.970484,0.909015,10653,547,853,23016,0.048839,0.035737,0.951161,35069,0.68063,0.671904,17607.0
125,0.635,0.959679,0.957537,0.976974,0.963467,0.970174,0.908184,10658,542,872,22997,0.048393,0.036533,0.951607,35069,0.68063,0.67122,17982.0
126,0.64,0.95948,0.957556,0.977251,0.962881,0.970013,0.907801,10665,535,886,22983,0.047768,0.037119,0.952232,35069,0.68063,0.670621,18255.0
127,0.645,0.959394,0.957825,0.977818,0.962169,0.96993,0.907717,10679,521,903,22966,0.046518,0.037831,0.953482,35069,0.68063,0.669737,18581.0
128,0.65,0.959223,0.957889,0.978138,0.961582,0.969789,0.907408,10687,513,917,22952,0.045804,0.038418,0.954196,35069,0.68063,0.669109,18853.0
129,0.655,0.959052,0.958143,0.978785,0.96066,0.969638,0.907162,10703,497,939,22930,0.044375,0.03934,0.955625,35069,0.68063,0.668026,19277.0
130,0.66,0.958596,0.958116,0.979303,0.959445,0.969272,0.906289,10716,484,968,22901,0.043214,0.040555,0.956786,35069,0.68063,0.666828,19844.0
131,0.665,0.958396,0.958301,0.979872,0.958566,0.969101,0.905978,10730,470,989,22880,0.041964,0.041434,0.958036,35069,0.68063,0.66583,20250.0
132,0.67,0.958282,0.958406,0.980197,0.958063,0.969004,0.905803,10738,462,1001,22868,0.04125,0.041937,0.95875,35069,0.68063,0.66526,20482.0
133,0.675,0.958111,0.95847,0.980522,0.957476,0.968862,0.905509,10746,454,1015,22854,0.040536,0.042524,0.959464,35069,0.68063,0.664633,20754.0
134,0.68,0.958111,0.958731,0.980976,0.957015,0.968847,0.905605,10757,443,1026,22843,0.039554,0.042985,0.960446,35069,0.68063,0.664005,20963.0
135,0.685,0.957683,0.958677,0.981419,0.955926,0.968505,0.9048,10768,432,1052,22817,0.038571,0.044074,0.961429,35069,0.68063,0.66295,21472.0
136,0.69,0.956714,0.958155,0.981723,0.954166,0.967749,0.902835,10776,424,1094,22775,0.037857,0.045834,0.962143,35069,0.68063,0.661524,22304.0
137,0.695,0.956514,0.958221,0.982092,0.953496,0.967583,0.902503,10785,415,1110,22759,0.037054,0.046504,0.962946,35069,0.68063,0.660812,22615.0
138,0.7,0.955858,0.957763,0.982116,0.952491,0.967076,0.901141,10786,414,1134,22735,0.036964,0.047509,0.963036,35069,0.68063,0.660099,23094.0
139,0.705,0.955431,0.957686,0.982521,0.951443,0.966733,0.90035,10796,404,1159,22710,0.036071,0.048557,0.963929,35069,0.68063,0.659101,23584.0
140,0.71,0.95486,0.957528,0.982966,0.950145,0.966277,0.899279,10807,393,1190,22679,0.035089,0.049855,0.964911,35069,0.68063,0.657903,24193.0
141,0.715,0.954547,0.95751,0.983336,0.949307,0.966021,0.898725,10816,384,1210,22659,0.034286,0.050693,0.965714,35069,0.68063,0.657076,24584.0
142,0.72,0.954148,0.957383,0.983619,0.948427,0.965703,0.897977,10823,377,1231,22638,0.033661,0.051573,0.966339,35069,0.68063,0.656278,24997.0
143,0.725,0.953577,0.957106,0.983858,0.947338,0.965252,0.896868,10829,371,1257,22612,0.033125,0.052662,0.966875,35069,0.68063,0.655365,25511.0
144,0.73,0.953121,0.957103,0.984437,0.946081,0.964878,0.896092,10843,357,1287,22582,0.031875,0.053919,0.968125,35069,0.68063,0.65411,26097.0
145,0.735,0.952608,0.957058,0.985017,0.94474,0.964458,0.895207,10857,343,1319,22550,0.030625,0.05526,0.969375,35069,0.68063,0.652799,26723.0
146,0.74,0.952094,0.956965,0.985515,0.943483,0.964041,0.894306,10869,331,1349,22520,0.029554,0.056517,0.970446,35069,0.68063,0.651601,27311.0
147,0.745,0.951353,0.956515,0.985669,0.942226,0.963458,0.89285,10873,327,1379,22490,0.029196,0.057774,0.970804,35069,0.68063,0.650632,27907.0
148,0.75,0.950925,0.95639,0.986,0.941263,0.963112,0.892085,10881,319,1402,22467,0.028482,0.058737,0.971518,35069,0.68063,0.649748,28359.0
149,0.755,0.950184,0.956059,0.986369,0.939796,0.96252,0.890705,10890,310,1437,22432,0.027679,0.060204,0.972321,35069,0.68063,0.648493,29050.0
150,0.76,0.949414,0.955683,0.986695,0.93833,0.961905,0.889264,10898,302,1472,22397,0.026964,0.06167,0.973036,35069,0.68063,0.647267,29742.0
151,0.765,0.948929,0.955445,0.9869,0.937408,0.961518,0.88836,10903,297,1494,22375,0.026518,0.062592,0.973482,35069,0.68063,0.646497,30177.0
152,0.77,0.94833,0.955242,0.987318,0.93611,0.961032,0.887302,10913,287,1525,22344,0.025625,0.06389,0.974375,35069,0.68063,0.645328,30787.0
153,0.775,0.947389,0.954646,0.987472,0.934559,0.960288,0.885485,10917,283,1562,22307,0.025268,0.065441,0.974732,35069,0.68063,0.644159,31523.0
154,0.78,0.946905,0.95455,0.987938,0.933386,0.959888,0.884683,10928,272,1590,22279,0.024286,0.066614,0.975714,35069,0.68063,0.643047,32072.0
155,0.785,0.94622,0.95419,0.988186,0.93213,0.959339,0.883418,10934,266,1620,22249,0.02375,0.06787,0.97625,35069,0.68063,0.64202,32666.0
156,0.79,0.945621,0.953987,0.988609,0.930831,0.95885,0.882389,10944,256,1651,22218,0.022857,0.069169,0.977143,35069,0.68063,0.640851,33276.0
157,0.795,0.94488,0.953537,0.98877,0.929574,0.958259,0.880994,10948,252,1681,22188,0.0225,0.070426,0.9775,35069,0.68063,0.639881,33872.0
158,0.8,0.944025,0.953122,0.989148,0.92794,0.957567,0.879461,10957,243,1720,22149,0.021696,0.07206,0.978304,35069,0.68063,0.638513,34643.0
159,0.805,0.943426,0.952777,0.989313,0.926893,0.957086,0.878356,10961,239,1745,22124,0.021339,0.073107,0.978661,35069,0.68063,0.637686,35139.0
160,0.81,0.942856,0.952476,0.989522,0.925845,0.956625,0.877328,10966,234,1770,22099,0.020893,0.074155,0.979107,35069,0.68063,0.63683,35634.0
161,0.815,0.9422,0.952137,0.989775,0.92463,0.956094,0.876154,10972,228,1799,22070,0.020357,0.07537,0.979643,35069,0.68063,0.635832,36208.0
162,0.82,0.941458,0.95171,0.989983,0.923332,0.955496,0.874803,10977,223,1830,22039,0.019911,0.076668,0.980089,35069,0.68063,0.634806,36823.0
163,0.825,0.940888,0.951386,0.99015,0.922326,0.955035,0.873771,10981,219,1854,22015,0.019554,0.077674,0.980446,35069,0.68063,0.634007,37299.0
164,0.83,0.939804,0.950803,0.990531,0.920357,0.954156,0.871844,10990,210,1901,21968,0.01875,0.079643,0.98125,35069,0.68063,0.63241,38230.0
165,0.835,0.939149,0.950464,0.990787,0.919142,0.953621,0.870694,10996,204,1930,21939,0.018214,0.080858,0.981786,35069,0.68063,0.631412,38804.0
166,0.84,0.93855,0.950142,0.991,0.918053,0.953133,0.869641,11001,199,1956,21913,0.017768,0.081947,0.982232,35069,0.68063,0.630528,39319.0
167,0.845,0.937324,0.949408,0.991294,0.915958,0.952138,0.867436,11008,192,2006,21863,0.017143,0.084042,0.982857,35069,0.68063,0.628903,40312.0
168,0.85,0.936497,0.948919,0.991506,0.914533,0.951466,0.865963,11013,187,2040,21829,0.016696,0.085467,0.983304,35069,0.68063,0.627791,40987.0
169,0.855,0.935499,0.948233,0.991582,0.912983,0.950661,0.864117,11015,185,2077,21792,0.016518,0.087017,0.983482,35069,0.68063,0.626679,41725.0
170,0.86,0.934215,0.947456,0.991879,0.910805,0.949615,0.86184,11022,178,2129,21740,0.015893,0.089195,0.984107,35069,0.68063,0.624996,42758.0
171,0.865,0.933417,0.946988,0.992093,0.909422,0.948961,0.860443,11027,173,2162,21707,0.015446,0.090578,0.984554,35069,0.68063,0.623913,43413.0
172,0.87,0.93239,0.946447,0.992486,0.907537,0.948112,0.858709,11036,164,2207,21662,0.014643,0.092463,0.985357,35069,0.68063,0.622373,44304.0
173,0.875,0.931678,0.94616,0.99293,0.906071,0.947514,0.857587,11046,154,2242,21627,0.01375,0.093929,0.98625,35069,0.68063,0.62109,44994.0
174,0.88,0.930594,0.945483,0.993144,0.904269,0.946625,0.855686,11051,149,2285,21584,0.013304,0.095731,0.986696,35069,0.68063,0.619721,45849.0
175,0.885,0.929624,0.944984,0.993543,0.902468,0.945818,0.854088,11060,140,2328,21541,0.0125,0.097532,0.9875,35069,0.68063,0.618238,46700.0
176,0.89,0.928569,0.944351,0.993805,0.900666,0.944946,0.852281,11066,134,2371,21498,0.011964,0.099334,0.988036,35069,0.68063,0.616841,47554.0
